,symbol
1025,ICICICONSU
1026,ICICIFIN
1027,ICICIFMCG
1028,ICICIGI
1029,ICICIGOLD
1030,ICICIINFRA
1031,ICICILIQ
1032,ICICILOVOL
1033,ICICIM150
1034,ICICIMCAP
1035,ICICIMOM30
1036,ICICINF100
1037,ICICINIFTY
1038,ICICINV20
1039,ICICINXT50
1040,ICICIPHARM
1041,ICICIPRULI
1042,ICICIQTY30
1043,ICICISENSX
1044,ICICISILVE
1045,ICICITECH
1046,ICIL
1047,ICRA
1048,IDBI
1049,IDBIGOLD
1050,IDEA
1051,IDEAFORGE
1052,IDFC
1053,IDFCFIRSTB
1054,IDFNIFTYET
1055,IEL
1056,IEX
1057,IFBAGRO
1058,IFBIND
1059,IFCI
1060,IFGLEXPOR
1061,IGARASHI
1062,IGIL
1063,IGL
1064,IGPL
1065,IIFL
1066,IIFLCAPS
1067,IIFLSEC
1068,IIFLWAM
1069,IITL
1070,IKIO
1071,IKS
1072,IMAGICAA
1073,IMFA
1074,IMPAL
1075,IMPEXFERRO
1076,INCREDIBLE
1077,INDBANK
1078,INDGN
1079,INDHOTEL
1080,INDIACEM
1081,INDIAGLYCO
1082,INDIAMART
1083,INDIANB
1084,INDIANCARD
1085,INDIANHUME
1086,INDIASHLTR
1087,INDIGO
1088,INDIGOPNTS
1089,INDLMETER
1090,INDNIPPON
1091,INDOAMIN
1092,INDOBORAX
1093,INDOCO
1094,INDOFARM
1095,INDORAMA
1096,INDOSTAR
1097,INDOTECH
1098,INDOTHAI
1099,INDOUS
1100,INDOWIND
1101,INDRAMEDCO
1102,INDSWFTLAB
1103,INDSWFTLTD
1104,INDTERRAIN
1105,INDUSINDBK
1106,INDUSTOWER
1107,INEOSSTYRO
1108,INFIBEAM
1109,INFOBEAN
1110,INFOMEDIA
1111,INFRABEES
1112,INFRAIETF
1113,INFRATEL
1114,INFY
1115,INGERRAND
1116,INNOVACAP
1117,INNOVANA
1118,INOXGREEN
1119,INOXINDIA
1120,INOXLEISUR
1121,INOXWIND
1122,INSECTICID
1123,INSPIRISYS
1124,INTEGRA
1125,INTELLECT
1126,INTENTECH
1127,INTERARCH
1128,INTLCONV
1129,INVENTURE
1130,IOB
1131,IOC
1132,IOLCP
1133,IONEXCHANG
1134,IPAPPM
1135,IPCALAB
1136,IPL
1137,IRB
1138,IRCON
1139,IRCTC
1140,IREDA
1141,IRFC
1142,IRIS
1143,IRISDOREME
1144,IRMENERGY
1145,ISEC
1146,ISFT
1147,ISGEC
1148,ISMTLTD
1149,IT
1150,ITBEES
1151,ITC
1152,ITCHOTELS
1153,ITDC
1154,ITDCEM
1155,ITETF
1156,ITETFADD
1157,ITI
1158,ITIETF
1159,IVC
1160,IVP
1161,IVZINGOLD
1162,IVZINNIFTY
1163,IWEL
1164,IXIGO
1165,IZMO
1166,J&KBANK
1167,JAGRAN
1168,JAGSNPHARM
1169,JAIBALAJI
1170,JAICORPLTD
1171,JAIPURKURT
1172,JAMNAAUTO
1173,JASH
1174,JAYAGROGN
1175,JAYBARMARU
1176,JAYNECOIND
1177,JAYSREETEA
1178,JBCHEPHARM
1179,JBFIND
1180,JBMA
1181,JCHAC
1182,JETFREIGHT
1183,JGCHEM
1184,JHS
1185,JINDALPHOT
1186,JINDALPOLY
1187,JINDALSAW
1188,JINDALSTEL
1189,JINDRILL
1190,JINDWORLD
1191,JIOFIN
1192,JISLDVREQS
1193,JISLJALEQS
1194,JITFINFRA
1195,JIYAECO
1196,JKCEMENT
1197,JKIL
1198,JKLAKSHMI
1199,JKPAPER
1200,JKTYRE
1201,JLHL
1202,JMA
1203,JMCPROJECT
1204,JMFINANCIL
1205,JMTAUTOLTD
1206,JNKINDIA
1207,JOCIL
1208,JPASSOCIAT
1209,JPINFRATEC
1210,JPOLYINVST
1211,JPPOWER
1212,JSFB
1213,JSL
1214,JSLHISAR
1215,JSWENERGY
1216,JSWHL
1217,JSWINFRA
1218,JSWISPL
1219,JSWSTEEL
1220,JTEKTINDIA
1221,JTLIND
1222,JTLINFRA
1223,JUBILANT
1224,JUBLCPL
1225,JUBLFOOD
1226,JUBLINDS
1227,JUBLINGREA
1228,JUBLPHARMA
1229,JUMPNET
1230,JUNIORBEES
1231,JUNIPER
1232,JUSTDIAL
1233,JWL
1234,JYOTHYLAB
1235,JYOTICNC
1236,JYOTISTRUC
1237,KABRAEXTRU
1238,KAJARIACER
1239,KAKATCEM
1240,KALAMANDIR
1241,KALPATPOWR
1242,KALYANIFRG
1243,KALYANKJIL
1244,KAMATHOTEL
1245,KAMDHENU
1246,KAMOPAINTS
1247,KANANIIND
1248,KANORICHEM
1249,KANPRPLA
1250,KANSAINER
1251,KAPSTON
1252,KARDA
1253,KARMAENG
1254,KARURVYSYA
1255,KAUSHALYA
1256,KAVVERITEL
1257,KAYA
1258,KAYNES
1259,KBCGLOBAL
1260,KCP
1261,KCPSUGIND
1262,KDDL
1263,KEC
1264,KECL
1265,KEEPLEARN
1266,KEERTI
1267,KEI
1268,KELLTONTEC
1269,KENNAMET
1270,KERNEX
1271,KESORAMIND
1272,KEYFINSERV
1273,KFINTECH
1274,KHADIM
1275,KHAICHEM
1276,KHAITANLTD
1277,KHANDSE
1278,KICL
1279,KILITCH
1280,KIMS
1281,KINGFA
1282,KIOCL
1283,KIRIINDUS
1284,KIRLFER
1285,KIRLOSBROS
1286,KIRLOSENG
1287,KIRLOSIND
1288,KIRLPNU
1289,KITEX
1290,KKCL
1291,KMEW
1292,KMSUGAR
1293,KNRCON
1294,KOHINOOR
1295,KOKUYOCMLN
1296,KOLTEPATIL
1297,KOPRAN
1298,KOTAKALPHA
1299,KOTAKBANK
1300,KOTAKBKETF
1301,KOTAKCONS
1302,KOTAKGOLD
1303,KOTAKIT
1304,KOTAKLIQ
1305,KOTAKLOVOL
1306,KOTAKMID50
1307,KOTAKMNC
1308,KOTAKNIFTY
1309,KOTAKNV20
1310,KOTAKPSUBK
1311,KOTAKSILVE
1312,KOTARISUG
1313,KOTHARIPET
1314,KOTHARIPRO
1315,KOVAI
1316,KPEL
1317,KPIGLOBAL
1318,KPIGREEN
1319,KPIL
1320,KPITTECH
1321,KPRMILL
1322,KRBL
1323,KREBSBIO
1324,KRIDHANINF
1325,KRISHANA
1326,KRITI
1327,KRITIKA
1328,KRITINUT
1329,KRN
1330,KRONOX
1331,KROSS
1332,KRSNAA
1333,KRYSTAL
1334,KSB
1335,KSCL
1336,KSERASERA
1337,KSHITIJPOL
1338,KSK
1339,KSL
1340,KSOLVES
1341,KTKBANK
1342,KUANTUM
1343,KWALITY
1344,L&TFH
1345,LAGNAM
1346,LAKSHVILAS
1347,LAL
1348,LALPATHLAB
1349,LAMBODHARA
1350,LANCER
1351,LANCORHOL
1352,LANDMARK
1353,LAOPALA
1354,LASA
1355,LATENTVIEW
1356,LATTEYS
1357,LAURUSLABS
1358,LAXMICOT
1359,LAXMIDENTL
1360,LAXMIMACH
1361,LCCINFOTEC
1362,LEMONTREE
1363,LEXUS
1364,LFIC
1365,LGBBROSLTD
1366,LGBFORGE
1367,LGHL
1368,LIBAS
1369,LIBERTSHOE
1370,LICHSGFIN
1371,LICI
1372,LICMFGOLD
1373,LICNETFGSC
1374,LICNETFN50
1375,LICNETFSEN
1376,LICNFNHGP
1377,LICNMID100
1378,LIKHITHA
1379,LINC
1380,LINCOLN
1381,LINCPEN
1382,LINDEINDIA
1383,LIQUID
1384,LIQUID1
1385,LIQUIDADD
1386,LIQUIDBEES
1387,LIQUIDBETF
1388,LIQUIDCASE
1389,LIQUIDETF
1390,LIQUIDIETF
1391,LIQUIDPLUS
1392,LIQUIDSBI
1393,LIQUIDSHRI
1394,LLOYDSENGG
1395,LLOYDSENT
1396,LLOYDSME
1397,LMW
1398,LODHA
1399,LOKESHMACH
1400,LORDSCHLO
1401,LOTUSEYE
1402,LOVABLE
1403,LOWVOL
1404,LOWVOL1
1405,LOWVOLIETF
1406,LOYALTEX
1407,LPDC
1408,LSIL
1409,LT
1410,LTF
1411,LTFOODS
1412,LTGILTBEES
1413,LTI
1414,LTIM
1415,LTTS
1416,LUMAXIND
1417,LUMAXTECH
1418,LUPIN
1419,LUXIND
1420,LXCHEM
1421,LYKALABS
1422,LYPSAGEMS
1423,M&M
1424,M&MFIN
1425,M100
1426,M50
1427,MAANALU
1428,MACPOWER
1429,MADHAV
1430,MADHUCON
1431,MADRASFERT
1432,MAESGETF
1433,MAFANG
1434,MAFSETF
1435,MAGADSUGAR
1436,MAGMA
1437,MAGNUM
1438,MAGOLDETF
