,symbol,available_days,first_trading_day,last_trading_day
464,CMSINFO,783,2021-12-31,2025-03-03
465,CNOVAPETRO,148,2020-01-01,2021-02-24
466,COALINDIA,1273,2020-01-01,2025-03-03
467,COASTCORP,839,2021-10-08,2025-03-03
468,COCHINSHIP,1210,2020-01-01,2025-03-03
469,COFFEEDAY,812,2021-05-03,2025-03-03
470,COFORGE,1120,2020-08-20,2025-03-03
471,COLPAL,1273,2020-01-01,2025-03-03
472,COMMOIETF,297,2023-12-20,2025-03-03
473,COMPINFO,941,2020-01-01,2023-10-27
474,COMPUSOFT,1042,2020-01-01,2025-03-03
475,COMSYN,229,2024-01-23,2024-12-30
476,CONCOR,1273,2020-01-01,2025-03-03
477,CONCORDBIO,380,2023-08-18,2025-03-03
478,CONFIPET,1273,2020-01-01,2025-03-03
479,CONS,235,2024-03-20,2025-03-03
480,CONSOFINVT,1202,2020-01-01,2025-03-03
481,CONSUMBEES,697,2022-05-10,2025-03-03
482,CONSUMER,44,2025-01-01,2025-03-03
483,CONSUMIETF,297,2023-12-20,2025-03-03
484,CONTROLPR,1273,2020-01-01,2025-03-03
485,CORALFINAC,1113,2020-01-01,2025-03-03
486,CORDSCABLE,1083,2020-01-01,2025-03-03
487,COROMANDEL,1273,2020-01-01,2025-03-03
488,CORPBANK,53,2020-01-01,2020-03-19
489,COSMOFILMS,630,2020-01-01,2022-07-22
490,COSMOFIRST,643,2022-07-25,2025-03-03
491,COUNCODOS,918,2020-01-01,2025-03-03
492,CPSEETF,1272,2020-01-01,2025-03-03
493,CRAFTSMAN,972,2021-03-25,2025-03-03
494,CREATIVE,1133,2020-03-04,2025-03-03
495,CREATIVEYE,117,2020-08-18,2025-03-03
496,CREDITACC,1272,2020-01-01,2025-03-03
497,CREST,1145,2020-01-01,2025-03-03
498,CRISIL,1272,2020-01-01,2025-03-03
499,CROMPTON,1272,2020-01-01,2025-03-03
500,CROWN,341,2022-02-08,2025-03-03
501,CSBBANK,1272,2020-01-01,2025-03-03
502,CSLFINANCE,645,2022-07-21,2025-03-03
503,CTE,1013,2020-01-01,2025-03-03
504,CUB,1272,2020-01-01,2025-03-03
505,CUBEXTUB,820,2020-01-01,2025-01-22
506,CUMMINSIND,1272,2020-01-01,2025-03-03
507,CUPID,1057,2020-01-01,2025-03-03
508,CYBERMEDIA,633,2020-12-16,2025-03-03
509,CYBERTECH,1115,2020-01-01,2025-03-03
