,symbol,date_timestamp,open,low,high,close,volume,expiry,expiry_type
99,NIFTY,2024-10-17 10:54:00,24911,24910,24917,24915,2225,2024-10-31 14:30:00,I
100,NIFTY,2024-10-17 10:55:00,24911,24890,24915,24890,15475,2024-10-31 14:30:00,I
101,NIFTY,2024-10-17 10:56:00,24890,24890,24898,24893,9200,2024-10-31 14:30:00,I
102,NIFTY,2024-10-17 10:57:00,24893,24888,24896,24889,4400,2024-10-31 14:30:00,I
103,NIFTY,2024-10-17 10:58:00,24889,24888,24896,24891,2500,2024-10-31 14:30:00,I
104,NIFTY,2024-10-17 10:59:00,24893,24890,24896,24891,5850,2024-10-31 14:30:00,I
105,NIFTY,2024-10-17 11:00:00,24891,24888,24896,24888,11500,2024-10-31 14:30:00,I
106,NIFTY,2024-10-17 11:01:00,24888,24887,24898,24892,6225,2024-10-31 14:30:00,I
107,NIFTY,2024-10-17 11:02:00,24898,24890,24898,24897,3300,2024-10-31 14:30:00,I
108,NIFTY,2024-10-17 11:03:00,24897,24891,24902,24895,5000,2024-10-31 14:30:00,I
109,NIFTY,2024-10-17 11:04:00,24894,24892,24899,24895,5325,2024-10-31 14:30:00,I
110,NIFTY,2024-10-17 11:05:00,24892,24887,24898,24888,9925,2024-10-31 14:30:00,I
111,NIFTY,2024-10-17 11:06:00,24887,24881,24893,24888,15400,2024-10-31 14:30:00,I
112,NIFTY,2024-10-17 11:07:00,24888,24882,24888,24884,3175,2024-10-31 14:30:00,I
113,NIFTY,2024-10-17 11:08:00,24884,24881,24884,24881,5300,2024-10-31 14:30:00,I
114,NIFTY,2024-10-17 11:09:00,24881,24880,24885,24881,5000,2024-10-31 14:30:00,I
115,NIFTY,2024-10-17 11:10:00,24881,24875,24881,24876,12325,2024-10-31 14:30:00,I
116,NIFTY,2024-10-17 11:11:00,24875,24875,24880,24876,7075,2024-10-31 14:30:00,I
117,NIFTY,2024-10-17 11:12:00,24876,24872,24879,24874,8725,2024-10-31 14:30:00,I
118,NIFTY,2024-10-17 11:13:00,24874,24869,24879,24870,40900,2024-10-31 14:30:00,I
119,NIFTY,2024-10-17 11:14:00,24870,24855,24874,24857,37550,2024-10-31 14:30:00,I
120,NIFTY,2024-10-17 11:15:00,24856,24855,24867,24865,31500,2024-10-31 14:30:00,I
121,NIFTY,2024-10-17 11:16:00,24865,24856,24866,24856,31225,2024-10-31 14:30:00,I
122,NIFTY,2024-10-17 11:17:00,24856,24856,24870,24863,31575,2024-10-31 14:30:00,I
123,NIFTY,2024-10-17 11:18:00,24865,24863,24869,24867,7925,2024-10-31 14:30:00,I
124,NIFTY,2024-10-17 11:19:00,24865,24864,24872,24871,14175,2024-10-31 14:30:00,I
125,NIFTY,2024-10-17 11:20:00,24872,24865,24872,24870,8375,2024-10-31 14:30:00,I
126,NIFTY,2024-10-17 11:21:00,24870,24866,24878,24878,7650,2024-10-31 14:30:00,I
127,NIFTY,2024-10-17 11:22:00,24878,24876,24882,24882,9650,2024-10-31 14:30:00,I
128,NIFTY,2024-10-17 11:23:00,24882,24871,24882,24876,6850,2024-10-31 14:30:00,I
129,NIFTY,2024-10-17 11:24:00,24875,24866,24875,24866,3850,2024-10-31 14:30:00,I
130,NIFTY,2024-10-17 11:25:00,24870,24866,24875,24871,4475,2024-10-31 14:30:00,I
131,NIFTY,2024-10-17 11:26:00,24871,24860,24871,24862,6475,2024-10-31 14:30:00,I
132,NIFTY,2024-10-17 11:27:00,24863,24851,24863,24855,17125,2024-10-31 14:30:00,I
133,NIFTY,2024-10-17 11:28:00,24854,24840,24854,24844,49625,2024-10-31 14:30:00,I
134,NIFTY,2024-10-17 11:29:00,24848,24837,24848,24844,18725,2024-10-31 14:30:00,I
135,NIFTY,2024-10-17 11:30:00,24847,24838,24849,24840,42700,2024-10-31 14:30:00,I
136,NIFTY,2024-10-17 11:31:00,24843,24838,24849,24848,48400,2024-10-31 14:30:00,I
137,NIFTY,2024-10-17 11:32:00,24848,24848,24852,24851,15275,2024-10-31 14:30:00,I
138,NIFTY,2024-10-17 11:33:00,24851,24845,24853,24848,9900,2024-10-31 14:30:00,I
139,NIFTY,2024-10-17 11:34:00,24849,24844,24849,24845,12625,2024-10-31 14:30:00,I
140,NIFTY,2024-10-17 11:35:00,24845,24844,24850,24849,18075,2024-10-31 14:30:00,I
141,NIFTY,2024-10-17 11:36:00,24844,24844,24851,24851,12675,2024-10-31 14:30:00,I
142,NIFTY,2024-10-17 11:37:00,24852,24852,24861,24860,13775,2024-10-31 14:30:00,I
143,NIFTY,2024-10-17 11:38:00,24858,24858,24866,24865,11025,2024-10-31 14:30:00,I
144,NIFTY,2024-10-17 11:39:00,24866,24860,24866,24860,4125,2024-10-31 14:30:00,I
145,NIFTY,2024-10-17 11:40:00,24860,24860,24863,24861,3000,2024-10-31 14:30:00,I
146,NIFTY,2024-10-17 11:41:00,24861,24855,24862,24858,6850,2024-10-31 14:30:00,I
147,NIFTY,2024-10-17 11:42:00,24856,24856,24860,24858,5500,2024-10-31 14:30:00,I
148,NIFTY,2024-10-17 11:43:00,24858,24852,24859,24856,3350,2024-10-31 14:30:00,I
149,NIFTY,2024-10-17 11:44:00,24856,24850,24856,24855,15600,2024-10-31 14:30:00,I
150,NIFTY,2024-10-17 11:45:00,24855,24850,24857,24855,7400,2024-10-31 14:30:00,I
151,NIFTY,2024-10-17 11:46:00,24855,24850,24856,24850,9375,2024-10-31 14:30:00,I
152,NIFTY,2024-10-17 11:47:00,24850,24843,24853,24847,11350,2024-10-31 14:30:00,I
153,NIFTY,2024-10-17 11:48:00,24846,24841,24852,24848,6050,2024-10-31 14:30:00,I
154,NIFTY,2024-10-17 11:49:00,24848,24848,24855,24854,6625,2024-10-31 14:30:00,I
155,NIFTY,2024-10-17 11:50:00,24854,24853,24865,24862,5675,2024-10-31 14:30:00,I
156,NIFTY,2024-10-17 11:51:00,24861,24859,24866,24860,8675,2024-10-31 14:30:00,I
157,NIFTY,2024-10-17 11:52:00,24860,24858,24865,24860,6375,2024-10-31 14:30:00,I
158,NIFTY,2024-10-17 11:53:00,24860,24860,24872,24871,9000,2024-10-31 14:30:00,I
159,NIFTY,2024-10-17 11:54:00,24871,24866,24873,24866,5650,2024-10-31 14:30:00,I
160,NIFTY,2024-10-17 11:55:00,24866,24865,24866,24865,2875,2024-10-31 14:30:00,I
161,NIFTY,2024-10-17 11:56:00,24865,24858,24867,24865,4100,2024-10-31 14:30:00,I
162,NIFTY,2024-10-17 11:57:00,24865,24855,24866,24857,3225,2024-10-31 14:30:00,I
163,NIFTY,2024-10-17 11:58:00,24856,24853,24860,24856,1850,2024-10-31 14:30:00,I
164,NIFTY,2024-10-17 11:59:00,24858,24852,24859,24855,4375,2024-10-31 14:30:00,I
165,NIFTY,2024-10-17 12:00:00,24855,24853,24859,24853,4725,2024-10-31 14:30:00,I
166,NIFTY,2024-10-17 12:01:00,24854,24852,24858,24852,3375,2024-10-31 14:30:00,I
167,NIFTY,2024-10-17 12:02:00,24852,24849,24854,24853,8025,2024-10-31 14:30:00,I
